"","UNIT_CODE","County","Year","Month","Monthly_Med"
"216","OLYM","53031",2019,4,16
"217","OLYM","53031",2019,5,20
"218","OLYM","53031",2019,6,16.5
"219","OLYM","53031",2019,7,16
"220","OLYM","53031",2019,8,22
"221","OLYM","53031",2019,9,18
"222","OLYM","53031",2019,10,23
"223","OLYM","53031",2019,11,28
"224","OLYM","53031",2019,12,22
"225","OLYM","53031",2020,1,15
"226","OLYM","53031",2020,2,23
"227","OLYM","53031",2020,3,18
"228","OLYM","53031",2020,4,17.5
"229","OLYM","53031",2020,5,16.5
"230","OLYM","53031",2020,6,15
"231","OLYM","53031",2020,7,17
"232","OLYM","53031",2020,8,19
"233","ACAD","23009",1982,6,30
"234","ACAD","23009",1982,7,38
"235","ACAD","23009",1982,8,32
"236","ACAD","23009",1982,9,26
"237","ACAD","23009",1982,10,23
"238","ACAD","23009",1982,11,21.5
"239","ACAD","23009",1982,12,19
"240","ACAD","23009",1983,1,15
"241","ACAD","23009",1983,2,37
"242","ACAD","23009",1983,3,37
"243","ACAD","23009",1983,4,40
"244","ACAD","23009",1983,5,43
"245","ACAD","23009",1983,6,45.5
"246","ACAD","23009",1983,7,61
"247","ACAD","23009",1983,8,39
"248","ACAD","23009",1983,9,44.5
"249","ACAD","23009",1983,10,31
"250","ACAD","23009",1983,11,27
"251","ACAD","23009",1983,12,30.5
"252","ACAD","23009",1984,1,32
"253","ACAD","23009",1984,2,32
"254","ACAD","23009",1984,3,34
"255","ACAD","23009",1984,4,42
"256","ACAD","23009",1984,5,42
"257","ACAD","23009",1984,6,39.5
"258","ACAD","23009",1984,7,49
"259","ACAD","23009",1984,8,38
"260","ACAD","23009",1984,9,34
"261","ACAD","23009",1984,10,29
"262","ACAD","23009",1984,11,28
"263","ACAD","23009",1984,12,29
"264","ACAD","23009",1985,1,29
"265","ACAD","23009",1985,2,36
"266","ACAD","23009",1985,3,38
"267","ACAD","23009",1985,4,41
"268","ACAD","23009",1985,5,44
"269","ACAD","23009",1985,6,44
"270","ACAD","23009",1985,7,54
"271","ACAD","23009",1985,8,34.5
"272","ACAD","23009",1985,9,31
"273","ACAD","23009",1985,10,30
"274","ACAD","23009",1985,11,27
"275","ACAD","23009",1985,12,30
"276","ACAD","23009",1986,1,27
"277","ACAD","23009",1986,2,32
"278","ACAD","23009",1986,3,38
"279","ACAD","23009",1986,4,41
"280","ACAD","23009",1986,5,44
"281","ACAD","23009",1986,6,41.5
"282","ACAD","23009",1986,7,35
"283","ACAD","23009",1986,8,43
