"","X1","UnitCode","Year","Month","ParkName","RecreationVisits","Smoke","stdsmoke","Season","CatColS","CatColM"
"89",881,"ARCH",2014,"05","Arches NP",165379,3.12994830053981e-09,0.445844970028396,"Spring","ARCHSpring","ARCH05"
"90",891,"ARCH",2015,"03","Arches NP",103649,2.07440731259112e-09,0.141227053165527,"Spring","ARCHSpring","ARCH03"
"91",901,"ARCH",2016,"01","Arches NP",20311,8.95326424110721e-10,-0.199043166714537,"Winter","ARCHWinter","ARCH01"
"92",911,"ARCH",2016,"11","Arches NP",69404,9.63884527749315e-10,-0.17925802624828,"Fall","ARCHFall","ARCH11"
"93",921,"ARCH",2017,"09","Arches NP",187603,1.44399903145853e-09,-0.0407020803917641,"Fall","ARCHFall","ARCH09"
"94",931,"ARCH",2018,"07","Arches NP",205493,1.52639756390016e-09,-0.0169227391899546,"Summer","ARCHSummer","ARCH07"
"95",941,"BADL",1980,"05","Badlands NP",64454,1.45148915109417e-09,-0.0385405114271175,"Spring","BADLSpring","BADL05"
"96",951,"BADL",1981,"03","Badlands NP",20524,1.19762455508265e-09,-0.11180313721349,"Spring","BADLSpring","BADL03"
"97",961,"BADL",1982,"01","Badlands NP",12264,1.11328268825872e-09,-0.136143304075376,"Winter","BADLWinter","BADL01"
"98",971,"BADL",1982,"11","Badlands NP",19208,8.28097757032964e-10,-0.218444645910994,"Fall","BADLFall","BADL11"
"99",981,"BADL",1983,"09","Badlands NP",122929,9.13293440873986e-10,-0.193858076527464,"Fall","BADLFall","BADL09"
"100",991,"BADL",1984,"07","Badlands NP",298925,8.41993808009533e-10,-0.214434393206995,"Summer","BADLSummer","BADL07"
"101",1001,"BADL",1985,"05","Badlands NP",77782,2.66219291056302e-09,0.310855733113008,"Spring","BADLSpring","BADL05"
"102",1011,"BADL",1986,"03","Badlands NP",18332,1.52894974458917e-09,-0.0161862069531017,"Spring","BADLSpring","BADL03"
"103",1021,"BADL",1987,"01","Badlands NP",14852,5.49127798787907e-10,-0.298952412561607,"Winter","BADLWinter","BADL01"
"104",1031,"BADL",1987,"11","Badlands NP",24631,1.11646814016098e-09,-0.135224016493168,"Fall","BADLFall","BADL11"
"105",1041,"BADL",1988,"09","Badlands NP",126459,9.64119895030535e-10,-0.179190101751058,"Fall","BADLFall","BADL09"
"106",1051,"BADL",1989,"07","Badlands NP",305833,9.37684041524278e-10,-0.186819208263746,"Summer","BADLSummer","BADL07"
"107",1061,"BADL",1990,"05","Badlands NP",95403,1.82212778199187e-09,0.0684218604201155,"Spring","BADLSpring","BADL05"
"108",1071,"BADL",1991,"03","Badlands NP",26613,1.51587442598355e-09,-0.0199596050128991,"Spring","BADLSpring","BADL03"
"109",1081,"BADL",1992,"01","Badlands NP",8513,7.72237995771974e-10,-0.23456517965251,"Winter","BADLWinter","BADL01"
"110",1091,"BADL",1992,"11","Badlands NP",14227,1.01688357734275e-09,-0.16396306350672,"Fall","BADLFall","BADL11"
"111",1101,"BADL",1993,"09","Badlands NP",120981,8.16405387737973e-10,-0.221818939489828,"Fall","BADLFall","BADL09"
"112",1111,"BADL",1994,"07","Badlands NP",289085,8.37700853129064e-10,-0.2156732943845,"Summer","BADLSummer","BADL07"
"113",1121,"BADL",1995,"05","Badlands NP",64642,1.72862879566082e-09,0.0414390461380245,"Spring","BADLSpring","BADL05"
"114",1131,"BADL",1996,"03","Badlands NP",9457,1.30931410158297e-09,-0.0795707204918955,"Spring","BADLSpring","BADL03"
"115",1141,"BADL",1997,"01","Badlands NP",9197,9.60242996228544e-10,-0.180308933563782,"Winter","BADLWinter","BADL01"
"116",1151,"BADL",1997,"11","Badlands NP",11219,7.62994223357794e-10,-0.23723283418124,"Fall","BADLFall","BADL11"
"117",1161,"BADL",1998,"09","Badlands NP",125014,6.84675760531661e-10,-0.259834710631687,"Fall","BADLFall","BADL09"
"118",1171,"BADL",1999,"07","Badlands NP",222487,1.35520450417204e-09,-0.0663272377657084,"Summer","BADLSummer","BADL07"
"119",1181,"BADL",2000,"05","Badlands NP",56457,5.38252642456882e-09,1.09591508909225,"Spring","BADLSpring","BADL05"
"120",1191,"BADL",2001,"03","Badlands NP",8837,2.62813726337185e-09,0.301027635082488,"Spring","BADLSpring","BADL03"
"121",1201,"BADL",2002,"01","Badlands NP",9372,1.43205813873948e-09,-0.0441480951908946,"Winter","BADLWinter","BADL01"
"122",1211,"BADL",2002,"11","Badlands NP",19121,1.50017864797292e-09,-0.0244892398217111,"Fall","BADLFall","BADL11"
"123",1221,"BADL",2003,"09","Badlands NP",109614,1.033769958525e-09,-0.159089833269507,"Fall","BADLFall","BADL09"
"124",1231,"BADL",2004,"07","Badlands NP",227954,2.46739739750979e-09,0.254639817219656,"Summer","BADLSummer","BADL07"
"125",1241,"BADL",2005,"05","Badlands NP",62729,3.23597726392677e-09,0.476443802591813,"Spring","BADLSpring","BADL05"
"126",1251,"BADL",2006,"03","Badlands NP",12192,2.62300292597217e-09,0.299545919847345,"Spring","BADLSpring","BADL03"
"127",1261,"BADL",2007,"01","Badlands NP",14820,1.70448144487523e-09,0.0344703772013891,"Winter","BADLWinter","BADL01"
"128",1271,"BADL",2007,"11","Badlands NP",14174,1.28673516286426e-09,-0.086086762366152,"Fall","BADLFall","BADL11"
"129",1281,"BADL",2008,"09","Badlands NP",94323,1.49214107736384e-09,-0.0268087973221112,"Fall","BADLFall","BADL09"
"130",1291,"BADL",2009,"07","Badlands NP",249779,1.25573573761528e-09,-0.0950328672082215,"Summer","BADLSummer","BADL07"
"131",1301,"BADL",2010,"05","Badlands NP",71909,2.92185742267748e-09,0.385792153078317,"Spring","BADLSpring","BADL05"
"132",1311,"BADL",2011,"03","Badlands NP",16375,2.82138001850285e-09,0.356795441533324,"Spring","BADLSpring","BADL03"
"133",1321,"BADL",2012,"01","Badlands NP",9660,2.29537033824556e-09,0.204994635236763,"Winter","BADLWinter","BADL01"
"134",1331,"BADL",2012,"11","Badlands NP",17791,1.82462889242174e-09,0.0691436543226636,"Fall","BADLFall","BADL11"
"135",1341,"BADL",2013,"09","Badlands NP",104029,1.03602226797506e-09,-0.158439840686897,"Fall","BADLFall","BADL09"
"136",1351,"BADL",2014,"07","Badlands NP",210370,1.86805104718246e-09,0.0816748269440253,"Summer","BADLSummer","BADL07"
"137",1361,"BADL",2015,"05","Badlands NP",68239,6.48213349663251e-09,1.41325000974813,"Spring","BADLSpring","BADL05"
"138",1371,"BADL",2016,"03","Badlands NP",20501,1.22814769465407e-09,-0.102994483358722,"Spring","BADLSpring","BADL03"
"139",1381,"BADL",2017,"01","Badlands NP",10380,9.71009828099056e-10,-0.177201740254328,"Winter","BADLWinter","BADL01"
"140",1391,"BADL",2017,"11","Badlands NP",16807,1.60330659859653e-09,0.00527239127359227,"Fall","BADLFall","BADL11"
"141",1401,"BADL",2018,"09","Badlands NP",116826,1.22120935586167e-09,-0.104996814233184,"Fall","BADLFall","BADL09"
"142",1411,"BIBE",1980,"07","Big Bend NP",8574,3.06001379790644e-09,0.425662615432751,"Summer","BIBESummer","BIBE07"
"143",1421,"BIBE",1981,"05","Big Bend NP",17269,2.12139972255443e-09,0.154788563514081,"Spring","BIBESpring","BIBE05"
"144",1431,"BIBE",1982,"03","Big Bend NP",24188,2.41303443893059e-09,0.238951244832637,"Spring","BIBESpring","BIBE03"
"145",1441,"BIBE",1983,"01","Big Bend NP",10415,9.33392252377985e-10,-0.188057773022751,"Winter","BIBEWinter","BIBE01"
"146",1451,"BIBE",1983,"11","Big Bend NP",16490,1.27956756301728e-09,-0.0881552555456891,"Fall","BIBEFall","BIBE11"
