"","UnitCode","Year","Month","ParkName","RecreationVisits","Smoke","stdsmoke","Season","CatColS","CatColM","SeasType","Region","State"
"79","ACAD","1986","07","Acadia NP",717864,4.92918150740707e-10,-0.630347839826051,"Summer","ACADSummer","ACAD07","High","Northeast","ME"
"80","ACAD","1986","08","Acadia NP",809273,3.8218098130649e-10,-0.694262981459531,"Summer","ACADSummer","ACAD08","High","Northeast","ME"
"81","ACAD","1986","09","Acadia NP",488247,3.83049175711747e-10,-0.693761878093236,"Fall","ACADFall","ACAD09","Shoulder","Northeast","ME"
"82","ACAD","1986","10","Acadia NP",407396,3.84290904653639e-10,-0.693045178527978,"Fall","ACADFall","ACAD10","Shoulder","Northeast","ME"
"83","ACAD","1986","11","Acadia NP",204770,4.7242404432879e-10,-0.642176602658457,"Fall","ACADFall","ACAD11","Shoulder","Northeast","ME"
"84","ACAD","1986","12","Acadia NP",36325,2.52153964375168e-10,-0.769311813263754,"Winter","ACADWinter","ACAD12","Low","Northeast","ME"
"85","ACAD","1987","01","Acadia NP",35579,2.75197947763317e-10,-0.756011315611716,"Winter","ACADWinter","ACAD01","Low","Northeast","ME"
"86","ACAD","1987","02","Acadia NP",35766,3.0356661628872e-10,-0.739637522819121,"Winter","ACADWinter","ACAD02","Low","Northeast","ME"
"87","ACAD","1987","03","Acadia NP",56924,5.51361845069209e-10,-0.596615381071008,"Spring","ACADSpring","ACAD03","Shoulder","Northeast","ME"
"88","ACAD","1987","04","Acadia NP",292358,7.25572824045173e-10,-0.496064505044052,"Spring","ACADSpring","ACAD04","Shoulder","Northeast","ME"
"89","ACAD","1987","05","Acadia NP",444265,8.22628909435963e-10,-0.440045794471641,"Spring","ACADSpring","ACAD05","Shoulder","Northeast","ME"
"90","ACAD","1987","06","Acadia NP",523486,5.53102896816426e-10,-0.595610482990416,"Summer","ACADSummer","ACAD06","High","Northeast","ME"
"91","ACAD","1987","07","Acadia NP",751309,3.14795994826866e-10,-0.733156164090263,"Summer","ACADSummer","ACAD07","High","Northeast","ME"
"92","ACAD","1987","08","Acadia NP",786970,2.19785301069919e-10,-0.787994318065093,"Summer","ACADSummer","ACAD08","High","Northeast","ME"
"93","ACAD","1987","09","Acadia NP",562309,2.64058136467682e-10,-0.762440978031016,"Fall","ACADFall","ACAD09","Shoulder","Northeast","ME"
"94","ACAD","1987","10","Acadia NP",444810,5.34439603683268e-10,-0.606382539293169,"Fall","ACADFall","ACAD10","Shoulder","Northeast","ME"
"95","ACAD","1987","11","Acadia NP",299699,5.2137771877625e-10,-0.613921581767325,"Fall","ACADFall","ACAD11","Shoulder","Northeast","ME"
"96","ACAD","1987","12","Acadia NP",54679,3.66314284461211e-10,-0.703420901797416,"Winter","ACADWinter","ACAD12","Low","Northeast","ME"
"97","ACAD","1988","01","Acadia NP",43462,3.9296504938946e-10,-0.688038646464969,"Winter","ACADWinter","ACAD01","Low","Northeast","ME"
"98","ACAD","1988","02","Acadia NP",30060,4.63510424486557e-10,-0.647321354665341,"Winter","ACADWinter","ACAD02","Low","Northeast","ME"
"99","ACAD","1988","03","Acadia NP",54253,5.06566566471633e-10,-0.622470264220934,"Spring","ACADSpring","ACAD03","Shoulder","Northeast","ME"
"100","ACAD","1988","04","Acadia NP",223653,6.77133682458475e-10,-0.524022548498984,"Spring","ACADSpring","ACAD04","Shoulder","Northeast","ME"
"101","ACAD","1988","05","Acadia NP",448299,7.06583902498892e-10,-0.507024507149023,"Spring","ACADSpring","ACAD05","Shoulder","Northeast","ME"
"102","ACAD","1988","06","Acadia NP",582015,5.31869659425865e-10,-0.607865856521172,"Summer","ACADSummer","ACAD06","High","Northeast","ME"
"103","ACAD","1988","07","Acadia NP",799802,4.22190254978361e-10,-0.671170478676087,"Summer","ACADSummer","ACAD07","High","Northeast","ME"
"104","ACAD","1988","08","Acadia NP",909762,4.98588503816677e-10,-0.627075032494835,"Summer","ACADSummer","ACAD08","High","Northeast","ME"
"105","ACAD","1988","09","Acadia NP",601530,2.67198402292834e-10,-0.760628483310346,"Fall","ACADFall","ACAD09","Shoulder","Northeast","ME"
"106","ACAD","1988","10","Acadia NP",455637,3.05264175048947e-10,-0.73865772796663,"Fall","ACADFall","ACAD10","Shoulder","Northeast","ME"
"107","ACAD","1988","11","Acadia NP",303503,4.87015816563741e-10,-0.633754541720423,"Fall","ACADFall","ACAD11","Shoulder","Northeast","ME"
"108","ACAD","1988","12","Acadia NP",50307,5.86178550143757e-10,-0.576519918568033,"Winter","ACADWinter","ACAD12","Low","Northeast","ME"
"109","ACAD","1989","01","Acadia NP",41114,7.18154036238872e-10,-0.500346471756865,"Winter","ACADWinter","ACAD01","Low","Northeast","ME"
"110","ACAD","1989","02","Acadia NP",42012,4.37820474319395e-10,-0.662149048129788,"Winter","ACADWinter","ACAD02","Low","Northeast","ME"
"111","ACAD","1989","03","Acadia NP",74773,8.0635359500647e-10,-0.449439560198229,"Spring","ACADSpring","ACAD03","Shoulder","Northeast","ME"
"112","ACAD","1989","04","Acadia NP",324714,1.02492048181801e-09,-0.323287396490929,"Spring","ACADSpring","ACAD04","Shoulder","Northeast","ME"
"113","ACAD","1989","05","Acadia NP",579272,1.00372576916641e-09,-0.335520534360799,"Spring","ACADSpring","ACAD05","Shoulder","Northeast","ME"
"114","ACAD","1989","06","Acadia NP",704488,8.28832225074905e-10,-0.43646537247164,"Summer","ACADSummer","ACAD06","High","Northeast","ME"
"115","ACAD","1989","07","Acadia NP",999535,3.06999092813953e-10,-0.737656370290257,"Summer","ACADSummer","ACAD07","High","Northeast","ME"
"116","ACAD","1989","08","Acadia NP",1045060,2.98190139247367e-10,-0.742740711146428,"Summer","ACADSummer","ACAD08","High","Northeast","ME"
"117","ACAD","1989","09","Acadia NP",666669,3.46855738575513e-10,-0.71465196109413,"Fall","ACADFall","ACAD09","Shoulder","Northeast","ME"
"118","ACAD","1989","10","Acadia NP",610334,5.01966801458309e-10,-0.625125150866578,"Fall","ACADFall","ACAD10","Shoulder","Northeast","ME"
"119","ACAD","1989","11","Acadia NP",302857,6.09673145302025e-10,-0.562959337375338,"Fall","ACADFall","ACAD11","Shoulder","Northeast","ME"
"120","ACAD","1989","12","Acadia NP",50124,5.84497394928718e-10,-0.577490245642728,"Winter","ACADWinter","ACAD12","Low","Northeast","ME"
"121","ACAD","1990","01","Acadia NP",16084,2.93284396768456e-10,-0.745572201484848,"Winter","ACADWinter","ACAD01","Low","Northeast","ME"
"122","ACAD","1990","02","Acadia NP",13383,4.14256157155179e-10,-0.675749871383103,"Winter","ACADWinter","ACAD02","Low","Northeast","ME"
"123","ACAD","1990","03","Acadia NP",30060,8.26720969460126e-10,-0.437683944359765,"Spring","ACADSpring","ACAD03","Shoulder","Northeast","ME"
"124","ACAD","1990","04","Acadia NP",17898,1.05262965011121e-09,-0.30729425322156,"Spring","ACADSpring","ACAD04","Shoulder","Northeast","ME"
"125","ACAD","1990","05","Acadia NP",148090,8.38649816259363e-10,-0.430798867410509,"Spring","ACADSpring","ACAD05","Shoulder","Northeast","ME"
"126","ACAD","1990","06","Acadia NP",290533,5.50430478973851e-10,-0.597152945794773,"Summer","ACADSummer","ACAD06","High","Northeast","ME"
"127","ACAD","1990","07","Acadia NP",554953,4.10217193547169e-10,-0.678081075371586,"Summer","ACADSummer","ACAD07","High","Northeast","ME"
"128","ACAD","1990","08","Acadia NP",645522,2.42486253299035e-10,-0.774891810710498,"Summer","ACADSummer","ACAD08","High","Northeast","ME"
"129","ACAD","1990","09","Acadia NP",355864,3.08587128072801e-10,-0.736739790075982,"Fall","ACADFall","ACAD09","Shoulder","Northeast","ME"
"130","ACAD","1990","10","Acadia NP",207770,6.24543139426947e-10,-0.554376692673118,"Fall","ACADFall","ACAD10","Shoulder","Northeast","ME"
"131","ACAD","1990","11","Acadia NP",47633,5.01028107890988e-10,-0.625666944851491,"Fall","ACADFall","ACAD11","Shoulder","Northeast","ME"
"132","ACAD","1990","12","Acadia NP",11801,4.57030358003152e-10,-0.651061511373312,"Winter","ACADWinter","ACAD12","Low","Northeast","ME"
"133","ACAD","1991","01","Acadia NP",24588,3.96932819946016e-10,-0.685748533593319,"Winter","ACADWinter","ACAD01","Low","Northeast","ME"
"134","ACAD","1991","02","Acadia NP",14667,2.41750536256191e-10,-0.775316450957633,"Winter","ACADWinter","ACAD02","Low","Northeast","ME"
"135","ACAD","1991","03","Acadia NP",31291,6.68334110276447e-10,-0.529101474619291,"Spring","ACADSpring","ACAD03","Shoulder","Northeast","ME"
"136","ACAD","1991","04","Acadia NP",75738,1.0789316107207e-09,-0.292113320331702,"Spring","ACADSpring","ACAD04","Shoulder","Northeast","ME"
"137","ACAD","1991","05","Acadia NP",157252,1.27793331472503e-09,-0.177253764486757,"Spring","ACADSpring","ACAD05","Shoulder","Northeast","ME"
